گوشی موبایل ارد مدل 3310 دو سیم کارت,86
گوشی موبایل داکس مدل B140 دو سیم‌ کارت ظرفیت 32 مگابایت و رم 32 مگابایت,94
گوشی موبایل جی ال ایکس مدل f1702 دو سیم‌ کارت ظرفیت 32 مگابایت و رم 32 مگابایت ,70
گوشی موبایل جی ال ایکس مدل R2401,78.5
گوشی موبایل جی ال ایکس مدل f2401,55
گوشی موبایل ارد مدل 150 دو سیم کارت ,57.7
گوشی موبایل جی ال ایکس مدل C43 دو سیم کارت ,80
گوشی موبایل جی ال ایکس مدل R2402,93.7
گوشی موبایل جی ال ایکس مدل R2403,105.3
گوشی موبایل بلوم مدل Z9mini دو سیم کارت,65
گوشی موبایل نوکیا مدل 105 - 2019 TA-1174 DS FA دو سیم کارت ,73
گوشی موبایل ارد مدل Empire 2020 دو سیم کارت,117
گوشی موبایل نوکیا مدل 105 2022 دو سیم کارت ظرفیت 4 مگابایت و رم 4 مگابایت ,70
گوشی موبایل نوکیا مدل 2018 106 FA دو سیم‌ کارت ظرفیت 4 مگابایت و رم 4 مگابایت,70
گوشی موبایل سامسونگ مدل Sm_B315E دو سیم کارت ,75
گوشی موبایل نوکیا مدل 110 NEW دو سیم‌ کارت ,75
گوشی موبایل ارد مدل 6700 دو سیم کارت ,95.7
گوشی موبایل نوکیا مدل 2022 110 دو سیم کارت,80
گوشی موبایل اُرُد مدل F240D,94.2
گوشی موبایل داکس مدل V435 دو سیم‌ کارت ظرفیت 64 مگابایت و رم 32 مگابایت,100
گوشی موبایل کاجیتل مدل KG2000 سه سیم‌ کارت ظرفیت 32 مگابایت و رم 32 مگابایت,120
گوشی موبایل نوکیا مدل 110-2019-TA-1192 DS FA دو سیم‌ کارت ,75
گوشی موبایل کاجیتل مدل KT110 دو سیم کارت ظرفیت 64 مگابایت و رم 32 مگابایت ,95
گوشی موبایل کاجیتل مدل KT200 دو سیم‌ کارت ظرفیت 32 مگابایت و رم 32 مگابایت ,120
گوشی موبایل ارد مدل 5310 دو سیم کارت,76
گوشی موبایل جی ال ایکس مدل C98,87
گوشی موبایل جی ال ایکس دو سیم کارت مدل C58,105
گوشی موبایل جنرال لوکس مدل GLX 106 دو سیم کارت ظرفیت چهار مگابایت,70
گوشی موبایل کاجیتل مدل C3521 دو سیم‌ کارت ظرفیت 32 مگابایت و رم 32 مگابایت ,100
گوشی موبایل کاجیتل مدل s3600 دو سیم‌ کارت ظرفیت 28 مگابایت,100
گوشی موبایل کاجیتل مدل E1272 دو سیم‌ کارت ظرفیت 28 مگابایت,80
گوشی موبایل کاجیتل مدل GT-20 دو سیم کارت ,75
گوشی موبایل جی ال ایکس مدل F8 Plus دو سیم کارت,127
گوشی موبایل جنرال لوکس مدل GLX 150 دو سیم کارت ظرفیت چهار مگابایت,75
گوشی موبایل داکس مدل B431 دو سیم‌ کارت,94
گوشی موبایل کاجیتل مدل KL800 دو سیم‌ کارت ظرفیت 32 مگابایت و رم 32 مگابایت,100
گوشی موبایل بلوم مدل Z9 دو سیم کارت,80
گوشی موبایل جنرال لوکس مدل GLX 125 دو سیم کارت ظرفیت چهار مگابایت,90
گوشی موبایل جنرال لوکس مدل GLX 110 دو سیم کارت ظرفیت چهار مگابایت,70
گوشی موبایل اینوی مدل 241 دو سیم کارت ظرفیت 32 مگابایت و رم 32 مگابایت ,111
گوشی موبایل کاجیتل مدل K80 دو سیم کارت,80
گوشی موبایل کاجیتل مدل K50 دو سیم کارت,80
گوشی موبایل اینوی مدل 105 دو سیم کارت ظرفیت 32 مگابایت و رم 32 مگابایت ,52
گوشی موبایل کاجیتل مدل KT5617 دو سیم کارت,80
گوشی موبایل نوکیا مدل 150 - 2020 TA 1235 DS FA دو سیم‌ کارت ,91
گوشی موبایل نوکیا مدل 125 TA 1253 DS FA دو سیم‌ کارت ,91.3
گوشی موبایل نوکیا مدل (2017)130 دو سیم کارت,68.6
گوشی موبایل نوکیا مدل 210 FA دو سیم‌ کارت ,90
گوشی موبایل آلکاتل مدل 2053D-2AALIR1 دوسیم کارت ,86.7
گوشی موبایل جی ال ایکس مدل 2690 V دو سیم کارت,114
گوشی موبایل جی ال ایکس مدل 2690 GOLDMINI Plus دو سیم کارت,85
گوشی موبایل نوکیا مدل 5310 TA-1212 DS FA دو سیم‌ کارت ,88.2
گوشی موبایل راگ گیر مدل RG129 دو سیم کارت,97
گوشی موبایل نوکیا مدل 2017 3310 FA دو سیم کارت ,79
گوشی موبایل نوکیا مدل 8210 4G دو سیم کارت ,107
گوشی موبایل نوکیا مدل 6310 TA-1400 DS 2021 FA دو سیم‌کارت ,98
گوشی موبایل جی پلاس مدل P10 2022 GMC-635M دو سیم کارت ظرفیت 32 گیگابایت و رم 3 گیگابایت,120
گوشی موبایل نوکیا مدل 2660 Flip دو سیم کارت ,123
گوشی موبایل نوکیا مدل 5710 XpressAudio دو سیم کارت ,129.1
گوشی موبایل شیائومی مدل Redmi 9A M2006C3LG دو سیم‌ کارت ظرفیت 32 گیگابایت	,196
گوشی موبایل شیائومی مدل Redmi A2 Plus دو سیم کارت ظرفیت 32 گیگابایت و رم 2 گیگابایت - گلوبال,192
گوشی موبایل شیائومی مدل Redmi A1 plus دو سیم کارت ظرفیت 32 گیگابایت و رم 2 گیگابایت - گلوبال ,192
گوشی موبایل آنر مدل X5 دو سیم کارت ظرفیت 32 گیگابایت و رم 2 گیگابایت,193
گوشی موبایل جی پلاس مدل S10 GMC-666M دو سیم‌ کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,188.3
گوشی موبایل شیائومی مدل REDMI 10A 220233L2G دو سیم‌ کارت ظرفیت  32 گیگابایت و رم 2 گیگابایت ,194
گوشی موبایل نوکیا مدل C21 TA-1352 دو سیم کارت ظرفیت 32 گیگابایت و رم 2 گیگابایت ,195
گوشی موبایل ریلمی مدل C30 دو سیم کارت ظرفیت 32 گیگابایت و رم 3 گیگابایت,182
گوشی موبایل تی سی ال مدل 403 دو سیم کارت ظرفیت 32 گیگابایت و رم 2 گیگابایت ,182
گوشی موبایل جیونی مدل S11 lite دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,141
